"autoctr","StockCode","SpecCode","SpeedRefNo","Length","LengthType","SpeedLS","LengthTypeSpeed","Speedms","Mode","DataRef","Reliable","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","SLa","SLb","TS"
71,32,24,308,25,"SL",6.97,"SL",1.7425,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
73,39,29,308,15,"SL",9.86,"SL",1.479,"burst",46348,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,3,2003-03-28,NA,NA,0,0.91,NA
72,39,29,308,20,"SL",8.04,"SL",1.608,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.91,NA
74,39,29,3499,17,NA,1.3,"TL",0.23,"sustained",3511,NA,"17.7 g, fish at 23 cm/sec.",22,1992-05-15,1,1994-09-28,NA,NA,0,0.91,NA
75,40,30,3499,22,"TL",3.5,"TL",0.79,"sustained",3511,NA,"23.7 g, fish at 79 cm/sec.",22,1992-05-15,1,1994-09-28,NA,NA,0,0.89,NA
76,54,44,3499,19,"TL",2.4,"TL",0.47,"sustained",3511,NA,"19.2 cm, fish at 47 cm/sec.",22,1992-05-15,NA,1994-09-28,NA,NA,NA,NA,NA
77,79,69,2120,27,"BL",1.44,"BL",0.3888,"sustained",2620,NA,"Maximum sustained speed at 15°C given as 1.9 BL/s TL assumed.",1,1993-05-17,1,2000-09-20,NA,NA,0,0.928,NA
78,79,69,2120,27,"BL",1.95,"BL",0.5265,"sustained",2620,NA,"Maximum sustained speed at 10°C given as 1.9 BL/s. TL assumed.",1,1993-05-17,1,2000-09-20,NA,NA,0,0.928,NA
79,104,89,308,125,"SL",0.32,"SL",0.4,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
81,104,89,308,89,"SL",13.3,"SL",11.837,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
80,104,89,308,97,"SL",12.4,"SL",12.028,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
82,104,89,308,110,"SL",19.3,"SL",21.23,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
83,104,89,4680,NA,NA,NA,NA,21.4,"burst",NA,NA,"Check Ref. 4687 for mode of swimming.",3,1992-09-02,NA,1994-09-28,NA,NA,NA,NA,NA
84,107,93,308,31,"SL",2.19,"SL",0.6789,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
85,110,96,308,36,"SL",2.11,"SL",0.7596,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
86,110,96,308,40,"SL",10,"SL",4,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
87,110,96,308,40,"SL",12.5,"SL",5,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
89,121,107,308,38,"SL",1.55,"SL",0.589,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
88,121,107,308,48,"SL",1.5,"SL",0.72,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
90,121,107,308,39,"SL",2.15,"SL",0.8385,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
91,121,107,308,79,"SL",8.05,"SL",6.3595,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
92,121,107,308,48,"SL",14.3,"SL",6.864,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
93,121,107,308,48,"SL",19.6,"SL",9.408,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
94,129,115,308,16,"SL",2.18,"SL",0.3488,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
95,129,115,308,14,"SL",8.58,"SL",1.2012,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
96,131,117,308,34,"SL",2.7,"SL",0.918,"sustained",498,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.82,NA
97,131,117,308,27,"SL",8.35,"SL",2.2545,"burst",3600,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,3,2003-03-28,NA,NA,0,0.82,NA
98,132,118,308,32,"SL",0.87,"SL",0.2784,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.84,NA
99,132,118,308,30,"SL",3.27,"SL",0.981,"sustained",499,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.84,NA
100,132,118,308,32,"SL",6.32,"SL",2.0224,"sustained",500,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.84,NA
102,132,118,308,33,"SL",8.98,"SL",2.9634,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.84,NA
101,132,118,308,38,"SL",7.99,"SL",3.0362,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.84,NA
103,132,118,308,30,"SL",18,"SL",5.4,"burst",499,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.84,NA
104,132,118,3499,25,"TL",3.2,"TL",0.81,"sustained",3511,NA,"25.2 g, fish at 81 cm/sec.",22,1992-05-15,1,1994-09-28,NA,NA,0,0.84,NA
105,143,129,4680,NA,NA,NA,NA,20.8,"burst",NA,NA,"Check Ref. 4687 for mode of swimming.",3,1992-09-02,NA,1994-09-28,NA,NA,NA,NA,NA
108,157,143,308,35,"SL",1.31,"SL",0.4585,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
106,157,143,308,87,"SL",0.57,"SL",0.4959,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
107,157,143,308,84,"SL",0.77,"SL",0.6468,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
109,157,143,308,62,"SL",8.4,"SL",5.208,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
110,157,143,308,66,"SL",18.8,"SL",12.408,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
111,157,143,308,66,"SL",31,"SL",20.46,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
113,160,146,308,36,"SL",1.3,"SL",0.468,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
112,160,146,308,55,"SL",1.09,"SL",0.5995,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
114,161,147,308,250,"SL",0.88,"SL",2.2,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
115,161,147,308,241,"SL",1.12,"SL",2.6992,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
116,161,147,308,213,"SL",1.64,"SL",3.4932,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
117,161,147,4680,NA,NA,NA,NA,1.5,"burst",NA,NA,"Recorded by tracking: translation of position over time (F.G. Ca",3,1992-09-02,3,2011-09-06,NA,NA,NA,NA,NA
118,230,216,4680,NA,"FL",NA,NA,0.2,"other",4680,NA,"Swimming speed (15-25 cm/sec) within 10 m of the surface.",3,1992-09-02,NA,1994-09-28,NA,NA,NA,NA,NA
119,230,216,4680,NA,"FL",NA,NA,1,"sustained",4680,NA,"Fastest sustained swimming speeds: 80-120 cm/sec.",3,1992-09-02,NA,1994-09-28,NA,NA,NA,NA,NA
120,230,216,4680,NA,NA,NA,NA,1.7,"sustained",NA,NA,"Check Ref. 4683 for mode of swimming.",3,1992-09-02,NA,1994-09-28,NA,NA,NA,NA,NA
121,230,216,4680,NA,NA,NA,NA,2.2,"sustained",NA,NA,"Check Ref. 4688 for mode of swimming.",3,1992-09-02,NA,1994-09-28,NA,NA,NA,NA,NA
122,230,216,4680,NA,"FL",NA,NA,2.25,"sustained",4680,NA,NA,3,1992-09-02,NA,1994-09-28,NA,NA,NA,NA,NA
123,230,216,4680,NA,NA,NA,NA,20.8,"burst",NA,NA,"Check Ref. 4686 for mode of swimming.",3,1992-09-02,NA,1994-09-28,NA,NA,NA,NA,NA
124,231,217,4680,NA,NA,NA,NA,36.1,"burst",NA,NA,NA,3,1992-10-07,NA,1994-09-28,NA,NA,NA,NA,NA
125,237,223,4680,NA,NA,999,NA,1.8,NA,NA,NA,"Check Ref. 4684 for mode of swimming.",3,1992-09-02,NA,1994-09-28,NA,NA,NA,NA,NA
126,240,226,308,220,"SL",11.3,"SL",24.86,"burst",46357,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,3,2003-03-28,NA,NA,NA,NA,NA
127,240,226,4680,NA,NA,NA,NA,2.25,"burst",NA,NA,"Data from F.G. Carey (unpublished).",3,1992-09-02,NA,1994-09-28,NA,NA,NA,NA,NA
129,252,238,308,24,"SL",9.87,"SL",2.3688,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.9,NA
128,252,238,308,38,"SL",8.58,"SL",3.2604,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.9,NA
130,252,238,3499,34,"TL",2.7,"TL",0.92,"sustained",3511,NA,"34.1 g, fish at 92 cm/sec.",22,1992-05-15,1,1994-09-28,NA,NA,0,0.9,NA
131,253,239,3499,4,"TL",18.25,"TL",0.73,"burst",NA,NA,"Maximum speed sustained for 3-4 sec. Data read from a graph.",1,1992-05-14,NA,1994-09-29,NA,NA,0,0.9,NA
132,253,239,3499,13,"TL",16.92308,"TL",2.2,"burst",NA,NA,"Max. speed sustained for 3-4 sec. Same speed reached at 23.2 TL.",1,1992-05-14,2,1994-09-29,NA,NA,0,0.9,NA
133,253,239,3499,29,"TL",11,"TL",3.19,"burst",NA,NA,"Maximum speed sustained for 3-4 sec. Data read from a graph.",1,1992-05-14,NA,1994-09-29,NA,NA,0,0.9,NA
134,253,239,3518,10,"TL",3.2,"TL",0.32,"sustained",NA,NA,NA,1,1992-05-15,NA,1994-09-28,NA,NA,0,0.9,NA
135,253,239,3518,15,"TL",2.66667,"TL",0.4,"sustained",NA,NA,NA,1,1992-05-15,NA,1994-09-28,NA,NA,0,0.9,NA
136,253,239,3518,20,"TL",3,"TL",0.6,"sustained",NA,NA,NA,1,1992-05-15,NA,1994-09-28,NA,NA,0,0.9,NA
137,253,239,3518,28,"TL",2.5,"TL",0.7,"sustained",NA,NA,NA,1,1992-05-15,NA,1994-09-28,NA,NA,0,0.9,NA
138,253,239,3518,10,"TL",10.3,"TL",1.03,"burst",NA,NA,NA,1,1992-05-15,NA,1994-09-28,NA,NA,0,0.9,NA
139,253,239,3518,15,"TL",11.66667,"TL",1.75,"burst",NA,NA,"The same speed also reached at 20 TL.",1,1992-05-15,2,1994-09-29,NA,NA,0,0.9,NA
140,253,239,3518,64,"TL",3.3,"TL",2.112,"sustained",3519,NA,"Average for 10 specimens.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.9,NA
141,253,239,3518,28,"TL",12.5,"TL",3.5,"burst",NA,NA,NA,1,1992-05-15,NA,1994-09-28,NA,NA,0,0.9,NA
142,253,239,3531,28,"TL",1.01,"TL",0.2828,"sustained",3531,NA,"Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
143,253,239,3531,29,"TL",1.03,"TL",0.2987,"sustained",3531,NA,"Average of 5 fish. Same speed reached at 29.7 TL.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
144,253,239,3531,30,"TL",1.07,"TL",0.321,"sustained",3531,NA,"Average of 4 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
145,253,239,3531,29,"TL",1.38,"TL",0.4002,"sustained",3531,NA,"Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
146,253,239,3531,28,"TL",1.69,"TL",0.4732,"sustained",3531,NA,"Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
147,253,239,3531,29,"TL",1.71,"TL",0.4959,"sustained",3531,NA,"Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
148,253,239,3531,30,"TL",1.74,"TL",0.522,"sustained",3531,NA,"Average of 4 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
149,253,239,3531,30,"TL",1.78,"TL",0.534,"sustained",3531,NA,"Average of 3 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
1,253,239,3531,28,"TL",2.36,"TL",0.6608,"sustained",3531,NA,"Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
2,253,239,3531,29,"TL",2.4,"TL",0.696,"sustained",3531,NA,"Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
3,253,239,3531,30,"TL",2.44,"TL",0.732,"sustained",3531,NA,"Average of 4 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
4,253,239,3531,30,"TL",2.49,"TL",0.747,"sustained",3531,NA,"Average of 4 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
5,253,239,3531,28,"TL",3.04,"TL",0.8512,"sustained",3531,NA,"Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
6,253,239,3531,29,"TL",3.09,"TL",0.8961,"sustained",3531,NA,"Average of 3 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
7,253,239,3531,30,"TL",3.14,"TL",0.942,"sustained",3531,NA,"Average of 4 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
8,253,239,3531,30,"TL",3.2,"TL",0.96,"sustained",3531,NA,"Average of 4 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
9,253,239,3531,28,"TL",3.72,"TL",1.0416,"sustained",3531,NA,"Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
10,253,239,3531,30,"TL",3.83,"TL",1.149,"sustained",3531,NA,"Average of 4 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
11,253,239,3531,30,"TL",3.92,"TL",1.176,"sustained",3531,NA,"Average of 4 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
12,253,239,3531,28,"TL",4.39,"TL",1.2292,"sustained",3531,NA,"Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
13,253,239,3531,30,"TL",4.53,"TL",1.359,"sustained",3531,NA,"Average of 2 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
14,253,239,3531,28,"TL",5.07,"TL",1.4196,"sustained",3531,NA,"Average of 4 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
15,253,239,3531,30,"TL",5.2,"TL",1.56,"sustained",3531,NA,"Average of 2 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
16,253,239,3531,28,"TL",5.81,"TL",1.6268,"sustained",3531,NA,"Average of 4 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
17,253,239,3531,29,"TL",20.7,"TL",6.003,"sustained",3531,"questionable","Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
18,253,239,3531,29,"TL",24.1,"TL",6.989,"sustained",3531,"questionable","Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
19,253,239,3531,29,"TL",27.6,"TL",8.004,"sustained",3531,"questionable","Average of 5 fish.",22,1992-05-18,1,2000-09-20,NA,NA,0,0.9,NA
20,254,240,308,64,"SL",0.96,"SL",0.6144,"sustained",689,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.92,NA
23,257,243,308,8,"SL",3.65,"SL",0.292,"sustained",689,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.91,NA
21,257,243,308,67,"SL",0.68,"SL",0.4556,"sustained",689,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.91,NA
22,257,243,308,63,"SL",0.93,"SL",0.5859,"sustained",689,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.91,NA
24,257,243,3518,6,"TL",1.7,"TL",0.102,"sustained",3521,NA,"At 0°C.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.91,NA
26,257,243,3518,6,"TL",5.1,"TL",0.306,"sustained",3521,NA,"At 20°C.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.91,NA
25,257,243,3518,51,"TL",3,"TL",1.53,"sustained",3519,NA,"Average for 15 specimens.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.91,NA
27,257,243,3531,18,"TL",2.9,"TL",0.522,"sustained",2361,NA,"At 15°C. Critical speed in increasing velocity test.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.91,NA
29,257,243,3531,18,"TL",4,"TL",0.72,"sustained",2361,NA,"At 15°C. Critical speed in increasing velocity test.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.91,NA
30,257,243,3531,17,"TL",4.3,"TL",0.731,"sustained",2361,NA,"At 15°C. Critical speed in increasing velocity test.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.91,NA
28,257,243,3531,30,"TL",3.2,"TL",0.96,"sustained",2275,NA,"At 15°C. Critical speed in increasing velocity test.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.91,NA
151,258,244,308,19,"SL",3.01,"SL",0.5719,"burst",495,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
150,258,244,308,31,"SL",2.25,"SL",0.6975,"burst",495,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
152,259,245,3518,5,"TL",1.1,"TL",0.055,"sustained",3521,NA,"At 0°C.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.897,NA
154,259,245,3518,5,"TL",5.5,"TL",0.275,"sustained",3521,NA,"At 20°C.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.897,NA
153,259,245,3518,56,"TL",3.4,"TL",1.904,"sustained",3519,NA,"Average for 9 specimens.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.897,NA
155,259,245,3531,56,"TL",3.37,"TL",1.8872,"sustained",3535,NA,"Migrating fish.",1,1992-05-15,1,2000-09-20,NA,NA,0,0.897,NA
157,272,258,308,20,"SL",7.37,"SL",1.474,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.87,NA
158,272,258,308,16,"SL",13,"SL",2.08,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.87,NA
156,272,258,308,44,"SL",6.5,"SL",2.86,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.87,NA
159,272,258,3499,37,"TL",3.9,"TL",1.443,"sustained",3511,NA,"37.8 cm, fish at 148 cm/sec.",22,1992-05-15,1,2000-09-20,NA,NA,0,0.87,NA
160,272,258,3499,20,"TL",7.5,"TL",1.5,"burst",3526,NA,NA,22,1992-05-15,1,2000-09-20,NA,NA,0,0.87,NA
161,272,258,3499,16,"TL",12.7,"TL",2.032,"burst",3526,NA,NA,22,1992-05-15,1,2000-09-20,NA,NA,0,0.87,NA
162,282,268,308,24,"SL",4.09,"SL",0.9816,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
163,285,271,308,7,"SL",9.6,"SL",0.672,"burst",494,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.832,NA
164,285,271,308,12,"SL",12.8,"SL",1.536,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.832,NA
165,285,271,308,13,"SL",13,"SL",1.69,"burst",494,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.832,NA
166,285,271,3499,4,"TL",7,"TL",0.28,"burst",NA,NA,"Maximum speed sustained for 3-4 sec. Data read from a graph.",1,1992-05-14,NA,1994-09-28,NA,NA,0,0.832,NA
167,285,271,3499,9,"TL",6.66667,"TL",0.6,"burst",NA,NA,"Maximum speed sustained for 3-4 sec. Data read from a graph.",1,1992-05-14,NA,1994-09-28,NA,NA,0,0.832,NA
168,285,271,3499,7,"TL",9.57143,"TL",0.67,"burst",NA,NA,"Maximum speed sustained for 3-4 sec. Data read from a graph.",1,1992-05-14,NA,1994-09-28,NA,NA,0,0.832,NA
169,285,271,3499,22,"TL",3.63636,"TL",0.8,"burst",NA,NA,"Maximum speed sustained for 3-4 sec. Data read from a graph.",1,1992-05-14,NA,1994-09-28,NA,NA,0,0.832,NA
170,285,271,3499,15,"TL",5.8,"TL",0.87,"burst",NA,NA,"Maximum speed sustained for 3-4 sec. Data read from a graph.",1,1992-05-14,NA,1994-09-28,NA,NA,0,0.832,NA
171,285,271,3518,6,"TL",7,"TL",0.42,"sustained",NA,NA,NA,1,1992-05-15,NA,1994-09-28,NA,NA,0,0.832,NA
